Id,Name,Reagents,Products,Modifiers,GeneRules,EC,FreeEnergy,Dbases
R_i_R07157,carbon-monoxide water:ferredoxin oxidoreductase,M_i_C00011 2 M_i_C00080 M_i_C00138w,M_i_C00237 M_i_C00001 M_i_C00139w,M_i_C00138,,1.2.7.4,,
R_i_R00134,hydrogen CO2 oxidoreductase,M_i_C00058,M_i_C00011 M_i_C00282,,,,,
R_i_R10243,,M_i_C00440 M_i_C00010 M_i_C00237,M_i_C00024 M_i_C00101,M_i_C00101 M_i_C00194,,2.1.1.258,,
R_i_R00943,,M_i_C00101 M_i_C00002 M_i_C00058,M_i_C00008 M_i_C00009 M_i_C00234,,,6.3.4.3,,
R_i_R01655,,M_i_C00445 M_i_C00001,M_i_C00234 M_i_C00080,,,3.5.4.9,,
R_i_R01220,,M_i_C00445 M_i_C00004,M_i_C00143 M_i_C00003,,,1.5.1.5,,
R_i_R07168,,M_i_C00143 M_i_C00004 M_i_C00080,M_i_C00440 M_i_C00003,M_i_C00016,,1.5.1.20,,
R_i_H2ase,Bifurcating hydrogenase Fd/NAD,2 M_i_C00282 M_i_C00139w M_i_C00003,M_i_C00138w 3 M_i_C00080 M_i_C00004,M_i_C00016,,,,
R_i_RnfAG,Conserving Fd NAD oxidoreductase,M_i_C00138w 3 M_i_C00080 M_i_C00003,M_i_C00139w 2 M_o_C00080 M_i_C00004,,,,,
R_i_R00086,ATP synthase,M_i_C00008 M_i_C00009 4 M_o_C00080,M_i_C00001 M_i_C00002 4 M_i_C00080,,,7.1.2.2,,
